id,name,description
5003,Mana Break,Burns an opponent's mana on each attack.  Mana Break deals %percent_damage_per_burn%%% of the mana burned as damage to the target. Mana Break has %illusion_percentage%%% effect if caused by illusions.
5004,Blink,Short distance teleportation that allows Anti-Mage to move in and out of combat.
7314,Counterspell,Passively grants you magic resistance. Can be activated to create an anti-magic shell around you that sends any targeted spells back towards enemies instead of affecting you.
543,Blink Fragment,Blinks an illusion at the target enemy or location and attack them for 7 seconds. Counterspell is replicated on the Blink Fragment illusion. Has 3 Charges
5006,Mana Void,"For each point of mana missing by the target unit, damage is dealt to it and surrounding enemies.  The main target is also mini-stunned."
5007,Berserker's Call,"Axe taunts nearby enemy units, forcing them to attack him, while he gains bonus armor during the duration."
5008,Battle Hunger,"Enrages an enemy unit, causing it to be slowed and take damage over time until it kills another unit or the duration ends. Axe gains movement speed for each unit affected with Battle Hunger, half speed from creeps."
5009,Counter Helix,"When attacked, Axe has a chance to perform a helix counter attack, dealing pure damage to all nearby enemies."
5010,Culling Blade,"Axe spots a weakness and strikes, instantly killing an enemy unit with low health, or dealing moderate damage otherwise. When an enemy hero is killed with Culling Blade, its cooldown is reset, and Axe and nearby allied units gain bonus movement speed."
5012,Enfeeble,"Lowers the enemy's total attack damage, cast speed, and regeneration."
5011,Brain Sap,"Feasts on the vital energies of an enemy unit, healing Bane and dealing damage."
5014,Nightmare,"Puts the target enemy or friendly Hero to sleep. Sleeping units are awakened when damaged. If the target was directly attacked, the Nightmare passes to the attacking unit. Bane can attack nightmared targets freely. Enemy Units take Pure Damage Per Second while in Nightmare."
5013,Fiend's Grip,"CHANNELED - Grips an enemy unit, disabling it and causing heavy damage over time, while stealing mana every %fiend_grip_tick_interval% seconds based on the unit's maximum mana."
5015,Bloodrage,Drives Bloodseeker into a bloodthirsty rage which causes him to attack faster and deal more spell damage at the cost of a percentage of his health per second. Provides half attack speed to allied heroes.
5016,Blood Rite,"Bloodseeker baptizes an area in sacred blood. After %delay_plus_castpoint_tooltip% seconds the ritual completes, causing any enemies caught in the area to take damage and become silenced."
5017,Thirst,"Bloodseeker is invigorated by the wounds of his enemies, restoring some life when he kills a unit. Restores for half values when denying, or if an ally kills a nearby enemy hero. Also gains bonus movement speed when an enemy hero's health falls below %min_bonus_pct%%%, with the bonuses increasing as their health falls further. If an enemy hero's health falls below %invis_threshold_pct%%%, he will also gain vision and True Sight of that hero. Bonuses stack per hero. Unlocks max movement speed for Bloodseeker."
5018,Rupture,"Causes an enemy unit's skin to rupture, dealing initial damage based on its current health. If the unit moves, it takes damage based on the distance moved.  The damage is dealt through spell immunity."
5126,Crystal Nova,A burst of damaging frost slows enemy movement and attack rate in the targeted area.
5127,Frostbite,"Encases an enemy unit in ice, prohibiting movement and attack, while dealing damage over time. Lasts %creep_duration% seconds on creeps level 6 or lower."
5128,Arcane Aura,Gives additional mana regeneration to all friendly units on the map. This bonus is increased for Crystal Maiden.
5129,Freezing Field,CHANNELED - Surrounds Crystal Maiden with 100 random icy explosions that slow enemies and deal massive damage. Grants bonus armor while channeling. Lasts %abilitychanneltime% seconds.
5019,Frost Arrows,"Adds a freezing effect to Drow's attacks, slowing enemy movement and dealing bonus damage.  Slow lasts %abilityduration% seconds."
5632,Gust,Releases a wave that silences and knocks back enemy units. Knockback distance is relative to how close they are to Drow.
343,Multishot,"Channeling. Drow releases a flurry of arrows in continuous salvos, hitting enemies for extra damage and applying longer duration Frost Arrows. Lasts up to %abilitychanneltime% seconds."
5022,Marksmanship,"Drow's experiences in battle grant her a chance to launch arrows with incredible accuracy and effectiveness. Pierces through the enemy's defenses, ignoring their base armor. Grants Drow and nearby ranged heroes with bonus agility based on Drow's current agility. This ability is disabled if there is an enemy hero within %disable_range% range."
5023,Fissure,"Slams the ground with a mighty totem, creating an impassable ridge of stone while stunning and damaging enemy units along its line."
5024,Enchant Totem,"Empowers Earthshaker's totem, causing it to deal extra damage and have %bonus_attack_range% bonus attack range on the next attack."
5025,Aftershock,"Causes the earth to shake underfoot, adding additional damage and stuns to nearby enemy units when Earthshaker casts his abilities."
5026,Echo Slam,"Shockwaves travel through the ground, damaging enemy units.  Each enemy hit causes an echo to damage nearby units. Real heroes cause two echoes."
5028,Blade Fury,"Causes a bladestorm of destructive force around Juggernaut, rendering him immune to magic and dealing damage to nearby enemy units. 

DISPEL TYPE: Basic Dispel"
5029,Healing Ward,"Summons a Healing Ward which heals all nearby allied units, based on their max health.  The Healing Ward moves at %healing_ward_movespeed_tooltip% movement speed after being summoned.  Lasts %abilityduration% seconds."
5027,Blade Dance,Gives Juggernaut a chance to deal critical damage on each attack.
419,Swiftslash,Performs a mini Omnislash for a short duration.
5030,Omnislash,"Juggernaut leaps towards the target enemy units, and then slashes the target and other nearby enemy units at an increased attack rate. Juggernaut is invulnerable for the duration."
5051,Starstorm,Calls down a wave of meteors to damage nearby enemy units. The closest enemy unit to Mirana in a %starfall_secondary_radius% radius will be struck a second time for %secondary_starfall_damage_percent%%% of the damage.
5048,Sacred Arrow,"Fires a long-range arrow with deadly precision, which stuns and damages the first enemy unit it strikes. The stun duration ranges from %arrow_min_stun% to %arrow_max_stun% seconds, with bonus damage up to %arrow_bonus_damage% added, based on the distance the arrow travels to its target. Instantly kills the first non-ancient creep it hits."
5050,Leap,"Mirana leaps forward into battle, empowering herself with a ferocious roar that grants bonus attack and movement speed. Speed bonus lasts %leap_bonus_duration% seconds."
5049,Moonlight Shadow,"Turns Mirana and all allied heroes invisible and grants bonus movement speed. If a hero is revealed, invisibility will restore after the fade delay as long as Moonlight Shadow's duration has not expired."
5052,Waveform,"Morphling dissolves into liquid and surges forward, damaging enemy units in his path.  Morphling is invulnerable during Waveform."
5053,Adaptive Strike (Agility),"Launches a surge of water toward an enemy unit, dealing base damage plus additional damage based on Morphling's agility times a multiplier.  If Morphling's agility is 50% higher than strength, the maximum agility multiplier is used. 

 Also puts Adaptive Strike (Strength) on a %shared_cooldown% second cooldown."
7000,Adaptive Strike (Strength),"Launches a surge of water toward an enemy unit, stunning and knocking back the target based on Morphling's strength. If his strength is 50% higher than his agility, the maximum stun/knockback is dealt. 

 Also puts Adaptive Strike (Agility) on a %shared_cooldown% second cooldown."
5055,Attribute Shift (Agility Gain),"Morphling shifts its form, pulling points from Strength and pouring them into Agility. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Agility."
5056,Attribute Shift (Strength Gain),"Morphling shifts its form, pulling points from Agility and pouring them into Strength. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Strength."
5057,Morph,"Morphling changes his form to match the targeted enemy, gaining their basic abilities with reduced mana cost. Can be toggled for the duration of the ability."
5059,Shadowraze,"Shadow Fiend razes the ground directly in front of him, dealing damage to enemy units in the area. Adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadowraze damage per stack."
5062,Necromastery,"Shadow Fiend steals the soul from units he kills, gaining bonus damage. On death, he releases 40% of them from bondage."
5063,Presence of the Dark Lord,Shadow Fiend's presence reduces the armor of nearby enemies.
5064,Requiem of Souls,"Shadow Fiend gathers his captured souls to release them as lines of demonic energy. Units near Shadow Fiend when the souls are released can be damaged by several lines of energy. Any unit damaged by Requiem of Souls will be feared and have its movement speed reduced for %requiem_slow_duration% seconds for each line hit up to a maximum of %requiem_slow_duration_max%. Lines of energy are created for every soul captured through Necromastery. <br><br> Requiem of Souls is automatically cast whenever Shadow Fiend dies, regardless of its cooldown."
5065,Spirit Lance,"Sends a magical spirit lance to a target enemy unit that damages and slows, while summoning an illusory phantom to attack the unit."
5066,Doppelganger,"Phantom Lancer briefly vanishes from the battlefield. After %delay% second, Phantom Lancer and any of his nearby illusions reappear at a random position within the targeted location, along with two additional doppelgangers. Extends duration of all illusions. The two added doppelgangers have different properties: one takes normal damage and deals none, while the other takes %illusion_2_damage_in_pct%%% bonus damage and deals %illusion_2_damage_out_pct%%% less damage.

DISPEL TYPE: Basic Dispel"
5068,Phantom Rush,"When targetting an enemy for an attack, Phantom Lancer quickly charges into range, gaining a temporary agility boost. Phantom Lancer's illusions also have this ability."
5067,Juxtapose,"Phantom Lancer has a chance to fracture his presence, creating an illusion of himself. Illusions also have a chance to fracture further. Illusions created from Phantom Lancer last for %illusion_duration% seconds, while illusions created from other illusions last %illusion_from_illusion_duration% seconds."
5069,Illusory Orb,"Puck launches a magic orb that floats in a straight path, damaging enemy units along the way. At any point, Puck may teleport to the orb's location using Ethereal Jaunt."
5071,Waning Rift,Puck teleports to the target location and releases a burst of faerie dust that deals damage and silences enemy units nearby.
5072,Phase Shift,CHANNELED - Puck briefly shifts into another dimension where it is immune from harm.
5073,Dream Coil,"Creates a coil of volatile magic that latches onto enemy Heroes, damaging and leashing them.  If the enemy hero stretches the coil by moving too far away, it snaps, stunning and dealing additional damage."
5075,Meat Hook,"Launches a bloody hook toward a unit or location. The hook will snag the first unit it encounters, dragging the unit back to Pudge, killing it if it's a non-ancient creep and dealing damage if it is an enemy otherwise."
5076,Rot,A toxic cloud that deals intense damage and slows movement--harming not only enemy units but Pudge himself.
5074,Flesh Heap,"Gives Pudge increased magic resistance, as well as bonus strength that increases each time Pudge kills an enemy Hero or it dies in his vicinity.  Flesh Heap is retroactive, meaning it can gain charges before it is skilled, which then become active."
322,Eject,Ejects the swallowed allied hero inside of you.
5077,Dismember,"CHANNELED - Pudge chows down on an enemy unit, disabling it and dealing damage over time. Pudge gets healed for the same amount he damages. Lasts longer on creeps."
5082,Plasma Field,"Releases a wave of energetic plasma that grows in power as it expands, but also zaps on contraction, slowing and dealing damage to enemy units caught in its path. Damage and slow increases with distance from Razor. The Plasma Field hits each unit twice, once each direction."
5083,Static Link,"Creates a charged link between Razor and an enemy Hero, stealing damage from the target and giving it to Razor. Allows Razor to attack while moving with the link active."
5084,Storm Surge,Passively increases Razor's movement speed.
5085,Eye of the Storm,"A powerful lightning storm strikes out at enemy units with the lowest health, dealing damage and reducing their armor."
5102,Burrowstrike,"Sand King burrows into the ground and tunnels forward, damaging and stunning enemy units above him as he resurfaces."
5103,Sand Storm,Sand King creates a fearsome sandstorm that damages enemy units while hiding him from vision.  The effect ends when Sand King leaves the area.
5104,Caustic Finale,Sand King's attacks inject a venom that causes enemy units to move more slowly and to violently explode when it dies.
5105,Epicenter,"After a cast point of %abilitycastpoint% seconds, Sand King sends a disturbance into the earth, causing it to shudder violently. All enemies caught within range will take damage and become slowed. Each subsequent pulse increases the radius of damage dealt."
5098,Static Remnant,Creates an explosively charged image of Storm Spirit that lasts %abilityduration% seconds and will detonate and deal damage if an enemy unit comes near it.
5099,Electric Vortex,A vortex that pulls an enemy unit to Storm Spirit's location.
5100,Overload,"Casting a spell creates an electrical charge, which is released in a burst on Storm's next attack, dealing damage and slowing nearby enemies."
5101,Ball Lightning,"Storm Spirit becomes volatile electricity, charging across the battlefield until he depletes his mana or reaches his target. The activation mana cost is %ball_lightning_initial_mana_base%+%ball_lightning_initial_mana_percentage%%% of his total mana pool, and the cost per 100 units traveled is %ball_lightning_travel_cost_base%+%ball_lightning_travel_cost_percent%%% of his total mana pool.  Damage is expressed in damage per 100 units traveled."
5094,Storm Hammer,Sven unleashes his magical gauntlet that deals damage and stuns enemy units in a small area around the target.
5095,Great Cleave,"Sven strikes with great force, cleaving all nearby enemy units with his attack."
5096,Warcry,"Sven's Warcry heartens his allied heroes for battle, increasing their armor and movement speed. Lasts %duration% seconds."
5097,God's Strength,"Sven channels his rogue strength, granting bonus damage for %abilityduration% seconds."
5106,Avalanche,"Bombards an area with rocks, continously doing small intervals of damage and stun to enemy units. Avalanche does 2.5x damage to units being tossed."
5107,Toss,"Grabs the nearest unit in a %grab_radius% radius around Tiny, ally or enemy, and launches it at the target unit or rune to deal damage where they land.  If the tossed unit is an enemy, it will take an extra %bonus_damage_pct%%% damage."
5108,Tree Grab,"Grabs a tree to whack enemies on the head for a limited number of attacks. Grants bonus attack range. Attacks deal more damage and fully splash on units along the way. The tree can be thrown, to deal your attack to a unit at a distance."
7850,Tree Volley,Tiny channels this ability to throw random trees within range towards the targeted aoe. Deals Tiny's attack damage plus a bonus to enemies in that area with each tree thrown.
5109,Grow,"Tiny gains craggy mass, increasing his attack damage, and armor, while slowing his attack speed."
6937,Tree Throw,"Throws the tree at the target unit, proccing your attack on it and splashing damage around the target."
5122,Magic Missile,"Fires a magic missile at an enemy unit, stunning and dealing damage."
5124,Wave of Terror,"Vengeful Spirit lets loose a wicked cry, weakening the armor of enemies and giving vision of the path ahead."
5123,Vengeance Aura,Vengeful Spirit's presence increases the damage of nearby friendly heroes.
5125,Nether Swap,"Instantaneously swaps positions with a target Hero, friend or enemy.  Nether Swap interrupts channeling abilities on the target. Enemy Swapped units take %damage% damage Allied swapped units receive less damage for a short duration"
5130,Shackleshot,"Shackles the target to an enemy unit or tree in a line directly behind it.  If no unit or tree is present, the stun duration is reduced to %fail_stun_duration%."
5131,Powershot,"Windranger charges her bow for up to %abilitychanneltime% second for a single powerful shot, which deals more damage the longer it is charged. The arrow damages enemies along its path. For each enemy that Powershot hits, its damage is reduced by %damage_reduction%%%."
5132,Windrun,"Increases movement speed and adds evasion from all physical attacks, while slowing movement of nearby enemies."
652,Gale Force,Summons a strong wind that pushes all enemies within 1000 radius by 250 units per second in the target direction for 3 seconds. Vector Targeted. Global Range. Mana Cost: 150 Cooldown: 40s
5133,Focus Fire,"Windranger channels the wind to gain %bonus_attack_speed% additional attack speed against a single enemy unit or structure, though with a reduction to her attack damage.  Extra damage from secondary item effects is not reduced."
5110,Arc Lightning,Hurls a bolt of lightning that leaps through nearby enemy units.
5111,Lightning Bolt,"Calls down a bolt of lightning to strike an enemy unit, causing damage and a mini-stun. When cast, Lightning Bolt briefly provides unobstructed vision and True Sight around the target in a %sight_radius_night% radius. Can be cast on the ground, affecting the closest enemy hero in %spread_aoe% range."
5112,Static Field,"Zeus shocks any enemy hit by his abilities, causing damage proportional to their current health."
6325,Nimbus,Creates a storm cloud anywhere on the map that automatically casts Lightning Bolt on nearby enemies.
641,Heavenly Jump,Jumps forward a distance of %hop_distance% units. Midway through the jump a Arc Lightning is cast on a an enemy within it’s cast range.
5113,Thundergod's Wrath,"Strikes all enemy heroes with a bolt of lightning, no matter where they may be.  Thundergod's Wrath also provides True Sight around each hero struck.  If an enemy hero is invisible, it takes no damage, but the True Sight is still created at that hero's location."
5031,Torrent,"Summons a rising torrent that, after a short delay, hurls enemy units into the sky, stunning, dealing damage and slowing movement speed."
5032,Tidebringer,Kunkka's legendary sword grants increased damage and cleaves a large area of effect in front of him for a single strike.
5033,X Marks the Spot,"Targets a friendly or enemy Hero, marks their position with an X, and returns them to it after several seconds.  Kunkka can trigger the return at any time during the duration. Lasts twice as long on allied heroes."
319,Torrent Storm,Releases a visible Torrent in a random area around Kunkka once every %torrent_interval% for %torrent_duration% seconds. Spawns within %torrent_max_distance% range of him.
605,Tidal Wave,Releases a Tidal Wave that spawns behind Kunkka. Deals %damage% damage and drags enemies along it for %knockback_distance% distance. Enemies cannot attack while being dragged.
5035,Ghostship,"Summons a ghostly ship that sails through the battle before smashing apart, damaging and stunning all enemies caught near the wreckage. Allied heroes touched by the Ghostship are given a swig of The Admiral's Rum, receiving bonus movement speed and a delayed reaction to incoming damage."
5040,Dragon Slave,"Lina channels the breath of a dragon, sending out a wave of fire that scorches every enemy in its path."
5041,Light Strike Array,Summons a column of flames that damages and stuns enemies.
5042,Fiery Soul,Grants bonus attack and movement speed each time Lina casts a spell. Stacks with itself. Lasts %fiery_soul_stack_duration% seconds.
5043,Laguna Blade,"Fires off a bolt of lightning at a single enemy unit, dealing massive damage."
5044,Earth Spike,"Rock spikes burst from the earth along a straight path. Enemy units are hurled into the air, then are stunned and take damage when they fall."
5045,Hex,"Transforms an enemy unit into a harmless beast, with all special abilities disabled."
5046,Mana Drain,CHANNELED - Absorbs the magical energies of a target enemy unit by taking mana from it every second.
5047,Finger of Death,"Rips at an enemy unit, trying to turn it inside-out. Deals massive damage and grows stronger with each life it consumes."
5078,Ether Shock,Creates a cone of ethereal energy that strikes multiple enemy units.
5079,Hex,"Transforms an enemy unit into a harmless creature, disabling their attacks and abilities."
5080,Shackles,"CHANNELED - Magically binds an enemy unit so that it cannot move or attack, while dealing damage over time."
5081,Mass Serpent Ward,Summons %ward_count% Serpent Wards to attack enemy units and structures. The Wards are immune to magic.
5114,Guardian Sprint,"Slardar slithers ahead, moving significantly faster and passing through units. Slardar gains movement speed bonus while in the river."
5115,Slithereen Crush,"Slams the ground, stunning and damaging nearby enemy land units.  After the stun, the affected units are slowed."
5116,Bash of the Deep,"After %attack_count% attacks, your next attack will bash the target. Deals double damage against creeps."
5117,Corrosive Haze,"Reduces enemy armor to amplify physical damage and provides True Sight and vision of the targeted unit, revealing invisibility."
5118,Gush,"Summons a gush of water to damage an enemy unit, reducing their movement speed and armor."
5119,Kraken Shell,"Thickens Tidehunter's hide to passively block a portion of any incoming physical attack damage. The hide also removes negative status effects if the damage taken crosses a threshold.

Does not stack with items that provide Damage Block.

DISPEL TYPE: Strong Dispel"
5120,Anchor Smash,Tidehunter swings his mighty anchor to attack and deal bonus damage to nearby enemies and reduce their attack damage.
5121,Ravage,"Slams the ground, causing tentacles to erupt in all directions, damaging and stunning all nearby enemy units."
5138,Paralyzing Cask,"Launches a cask of paralyzing powder that ricochets between enemy units, stunning and damaging those it hits. Each bounce deals more damage than the previous one."
5139,Voodoo Restoration,"Witch Doctor focuses his magic to heal nearby allied units, costing Witch Doctor mana every second Voodoo Restoration is active."
5140,Maledict,"Curses all enemy Heroes in a small area, causing them to take a set amount of damage each second, as well as bursts of damage every 4 seconds based on how much health they have lost since the curse began."
632,Voodoo Switcheroo,Turns Witch Doctor into a Death Ward for 2 seconds. Death Ward has -30 Attack Speed. He is hidden during this time.
5141,Death Ward,CHANNELED - Summons a deadly ward to attack enemy heroes within its attack range. Lasts a maximum of %abilitychanneltime% seconds.
5134,Frost Blast,"Blasts the target enemy unit with damaging frost, dealing area damage and slowing movement and attack rates for %abilityduration% seconds.  The primary target receives both base and area damage."
5136,Frost Shield,"Applies a magical frost shield around the target, reducing damage from attacks against you. While the shield is active, ice magic will affect nearby enemy units every %interval% seconds, dealing minor damage and slowing them."
